car_ID, time_s, x_est, y_est, v_est, yaw_est, yawdot_est, x_var, y_var, v_var, yaw_var, yawdot_var, x_tru, y_tru, vx_tru, vy_tru
2, 0.766666, -11.219532, -0.041578, 1.697455, -0.003150, -0.054750, 0.010816, 0.418690, 0.054556, 1.530889, 1.016421, -11.121881, 0.031932, 1.571207, 0.302174
0, 0.800000, -5.931453, 3.818418, 4.869652, -0.105947, -0.150135, 0.005408, 0.007470, 0.042260, 0.007166, 0.051564, -5.808333, 4.000000, 5.166669, 0.000000
1, 0.800000, 20.093792, -3.695279, -5.984265, -0.144011, -0.215650, 0.005830, 0.049916, 0.024488, 0.020356, 0.093254, 20.000000, -4.000000, -6.000000, -0.000000
2, 0.800000, -11.168411, -0.043370, 1.747349, -0.002849, -0.052962, 0.011279, 0.456229, 0.056265, 1.579801, 1.017218, -11.069507, 0.042004, 1.627700, 0.358293
0, 0.833333, -5.760174, 3.860958, 4.913762, -0.064492, -0.064659, 0.005324, 0.007246, 0.041675, 0.006830, 0.046525, -5.636110, 4.000000, 5.183336, 0.000000
1, 0.833333, 19.912680, -3.701764, -5.952032, -0.136842, -0.195250, 0.005767, 0.050680, 0.022218, 0.020671, 0.089201, 19.800000, -4.000000, -6.000000, -0.000000
2, 0.833333, -11.174608, -0.016403, 1.748113, 0.034222, -0.038189, 0.011777, 0.495559, 0.058010, 1.630692, 1.017966, -11.015251, 0.053948, 1.681805, 0.419497
0, 0.866666, -5.554545, 3.890108, 5.018958, -0.042684, -0.039471, 0.005197, 0.006884, 0.041670, 0.006121, 0.040316, -5.463333, 4.000000, 5.200003, 0.000000
1, 0.866666, 19.681692, -3.786783, -6.015766, -0.087238, -0.115409, 0.005723, 0.051889, 0.021051, 0.021083, 0.085600, 19.600000, -4.000000, -6.000000, -0.000000
2, 0.866666, -11.092475, -0.050133, 1.821048, -0.016966, -0.064908, 0.012259, 0.534169, 0.059771, 1.679850, 1.017531, -10.959190, 0.067931, 1.733178, 0.485897
