sen_ID_lid_rad, time_s, x, y, v
1, 7.166666, 22.214679, 0.886933, 0.118737
0, 7.166666, -2.944153, -3.745835, 0.000000
1, 7.166666, -2.776223, -4.026776, -2.291280
0, 7.166666, 33.964400, 3.984305, 0.000000
1, 7.166666, 33.625023, 5.063497, 6.323605
0, 7.200000, 22.422756, 0.157891, 0.000000
1, 7.200000, 22.763745, -0.117827, -0.227184
0, 7.200000, -2.806925, -3.842233, 0.000000
1, 7.200000, -3.144561, -4.320047, -2.572461
0, 7.200000, 34.198287, 3.886100, 0.000000
1, 7.200000, 34.556218, 3.594332, 5.978708
0, 7.233333, 22.420401, -0.191212, 0.000000
1, 7.233333, 22.285519, 0.518881, -0.108413
0, 7.233333, -2.692059, -4.191336, 0.000000
1, 7.233333, -2.627641, -4.009353, -2.381447
0, 7.233333, 34.404258, 3.535211, 0.000000
1, 7.233333, 34.179946, 4.516258, 6.098474
0, 7.266666, 22.109309, -0.180825, 0.000000
1, 7.266666, 22.147615, -0.139817, 0.186207
0, 7.266666, -2.880374, -4.180949, 0.000000
1, 7.266666, -2.537858, -3.807222, -2.006417
0, 7.266666, 34.301491, 3.543829, 0.000000
1, 7.266666, 34.364164, 3.485040, 6.394064
0, 7.300000, 22.131040, 0.035626, 0.000000
1, 7.300000, 22.472132, 0.612433, -0.124368
0, 7.300000, -2.730310, -3.964498, 0.000000
1, 7.300000, -2.450501, -4.169319, -2.227715
0, 7.300000, 34.531548, 3.758530, 0.000000
1, 7.300000, 34.765614, 4.684375, 6.084432
0, 7.333333, 22.473080, -0.018462, 0.000000
1, 7.333333, 22.531804, 0.029019, 0.118879
0, 7.333333, -2.254382, -4.018586, 0.000000
1, 7.333333, -2.448453, -4.150346, -1.885578
0, 7.333333, 35.081914, 3.702711, 0.000000
1, 7.333333, 35.134872, 3.784454, 6.328598
0, 7.366666, 22.482992, -0.132193, 0.000000
1, 7.366666, 22.675603, -0.345268, 0.065578
0, 7.366666, -2.105026, -4.132317, 0.000000
1, 7.366666, -2.450846, -4.242860, -1.829591
0, 7.366666, 35.300152, 3.587267, 0.000000
1, 7.366666, 35.546662, 3.212247, 6.276192
0, 7.400000, 22.337885, 0.284788, 0.000000
1, 7.400000, 22.286861, 0.324244, 0.223427
0, 7.400000, -2.105133, -3.715336, 0.000000
1, 7.400000, -2.002909, -3.973010, -1.551240
0, 7.400000, 35.363371, 4.002553, 0.000000
1, 7.400000, 35.257354, 4.224366, 6.434915
0, 7.433333, 22.229854, -0.023326, 0.000000
1, 7.433333, 22.103419, -0.647307, -0.135010
0, 7.433333, -2.062610, -4.023450, 0.000000
1, 7.433333, -1.954957, -3.734955, -1.777123
0, 7.433333, 35.463666, 3.692763, 0.000000
1, 7.433333, 35.440910, 2.655506, 6.077329
0, 7.466666, 22.425727, -0.098687, 0.000000
1, 7.466666, 22.511222, -0.282015, -0.402748
0, 7.466666, -1.710626, -4.098811, 0.000000
1, 7.466666, -1.924503, -4.137295, -1.899411
0, 7.466666, 35.867865, 3.615745, 0.000000
1, 7.466666, 35.998140, 3.281915, 5.810421
0, 7.500000, 22.569467, -0.126172, 0.000000
1, 7.500000, 22.167544, -0.971684, -0.217918
0, 7.500000, -1.405220, -4.126296, 0.000000
1, 7.500000, -1.766364, -3.800704, -1.555397
0, 7.500000, 36.219932, 3.586621, 0.000000
1, 7.500000, 35.967626, 2.125731, 6.062316
0, 7.533333, 22.217944, -0.149911, 0.000000
1, 7.533333, 22.721222, 0.728161, -0.625352
0, 7.533333, -1.589522, -4.150035, 0.000000
1, 7.533333, -1.502993, -4.445748, -1.789107
0, 7.533333, 36.078957, 3.561243, 0.000000
1, 7.533333, 36.452691, 4.924306, 5.721940
0, 7.566666, 22.410999, 0.043522, 0.000000
1, 7.566666, 22.189571, 0.541543, -0.463399
0, 7.566666, -1.223690, -3.956602, 0.000000
1, 7.566666, -1.213043, -3.937364, -1.438143
0, 7.566666, 36.484782, 3.753037, 0.000000
1, 7.566666, 36.169435, 4.583269, 5.950945
0, 7.600000, 22.343104, 0.039040, 0.000000
1, 7.600000, 21.754919, 0.123567, -0.992860
0, 7.600000, -1.113252, -3.961084, 0.000000
1, 7.600000, -1.012698, -3.506022, -1.762651
0, 7.600000, 36.631881, 3.746916, 0.000000
1, 7.600000, 36.025383, 3.859909, 5.488531
0, 7.633333, 22.227489, -0.145798, 0.000000
1, 7.633333, 22.588062, -0.035138, -1.343828
0, 7.633333, -1.044978, -4.145922, 0.000000
1, 7.633333, -1.105284, -4.320341, -1.892194
0, 7.633333, 36.733481, 3.560440, 0.000000
1, 7.633333, 37.098199, 3.681784, 5.204603
0, 7.666666, 22.109699, 0.221867, 0.000000
1, 7.666666, 22.635352, -0.288193, -0.667019
0, 7.666666, -0.973325, -3.778257, 0.000000
1, 7.666666, -0.989931, -4.383095, -0.977127
0, 7.666666, 36.835128, 3.926465, 0.000000
1, 7.666666, 37.405269, 3.268887, 5.948446
0, 7.700000, 22.328041, 0.101874, 0.000000
1, 7.700000, 21.746172, -0.400533, -0.645950
0, 7.700000, -0.559984, -3.898250, 0.000000
1, 7.700000, -0.668489, -3.536616, -0.700809
0, 7.700000, 37.275130, 3.804833, 0.000000
1, 7.700000, 36.760359, 2.980989, 6.036543
0, 7.733333, 22.240762, 0.202186, 0.000000
1, 7.733333, 22.193670, -0.649761, -0.744295
0, 7.733333, -0.446708, -3.797939, 0.000000
1, 7.733333, -0.627005, -4.005576, -0.527004
0, 7.733333, 37.411733, 3.903506, 0.000000
1, 7.733333, 37.466434, 2.608130, 6.005221
0, 7.766666, 22.082326, -0.273132, 0.000000
1, 7.766666, 21.663811, -0.264229, -0.942040
0, 7.766666, -0.399033, -4.273256, 0.000000
1, 7.766666, -0.332934, -3.511921, -0.436064
0, 7.766666, 37.479401, 3.426549, 0.000000
1, 7.766666, 37.106641, 3.199638, 5.874493
0, 7.800000, 22.360019, 0.046769, 0.000000
1, 7.800000, 22.351071, -0.315874, -1.264651
0, 7.800000, 0.090326, -3.953355, 0.000000
1, 7.800000, -0.218600, -4.230792, -0.454122
0, 7.800000, 37.985420, 3.744812, 0.000000
1, 7.800000, 38.026398, 3.183702, 5.618894
0, 7.833333, 22.276120, 0.161741, 0.000000
1, 7.833333, 22.044013, -0.147161, -1.851373
0, 7.833333, 0.223648, -3.838383, 0.000000
1, 7.833333, 0.006526, -3.958847, -0.721408
0, 7.833333, 38.132070, 3.858145, 0.000000
1, 7.833333, 37.924473, 3.439218, 5.099178
0, 7.866666, 21.814791, -0.213764, 0.000000
1, 7.866666, 21.620807, -0.822428, -1.034141
0, 7.866666, -0.014903, -4.213888, 0.000000
1, 7.866666, 0.060770, -3.592294, 0.428851
0, 7.866666, 37.903512, 3.481001, 0.000000
1, 7.866666, 37.838770, 2.218132, 5.983412
0, 7.900000, 21.942126, 0.045188, 0.000000
1, 7.900000, 22.076289, -0.584098, -1.809493
0, 7.900000, 0.340764, -3.954936, 0.000000
1, 7.900000, 0.309519, -4.081905, -0.001460
0, 7.900000, 38.265840, 3.738314, 0.000000
1, 7.900000, 38.491839, 2.682874, 5.275056
0, 7.933333, 22.131009, -0.181873, 0.000000
1, 7.933333, 22.390059, 0.033456, -1.616911
0, 7.933333, 0.763535, -4.181997, 0.000000
1, 7.933333, 0.672424, -4.413606, 0.546350
0, 7.933333, 38.691937, 3.509615, 0.000000
1, 7.933333, 38.943503, 3.789574, 5.534629
0, 7.966666, 21.679726, -0.104199, 0.000000
1, 7.966666, 21.615991, -0.675630, -2.416137
0, 7.966666, 0.551697, -4.104323, 0.000000
1, 7.966666, 0.624753, -3.725727, 0.110524
0, 7.966666, 38.480092, 3.585649, 0.000000
1, 7.966666, 38.523914, 2.458844, 4.802390
0, 8.000000, 21.957516, 0.180468, 0.000000
1, 8.000000, 21.685643, 0.380962, -1.219199
0, 8.000000, 1.074486, -3.819656, 0.000000
1, 8.000000, 1.019712, -3.794446, 1.652646
0, 8.000000, 38.999542, 3.868677, 0.000000
1, 8.000000, 38.661466, 4.349562, 6.066309
0, 8.033333, 21.926880, -0.217635, 0.000000
1, 8.033333, 21.528367, 0.567363, -1.908261
0, 8.033333, 1.291071, -4.217759, 0.000000
1, 8.033333, 1.211199, -3.682073, 1.299124
0, 8.033333, 39.212787, 3.468935, 0.000000
1, 8.033333, 38.713239, 4.679860, 5.444224
0, 8.066666, 21.732353, -0.181309, 0.000000
1, 8.066666, 21.633523, -0.527230, -1.482032
0, 8.066666, 1.345988, -4.181433, 0.000000
1, 8.066666, 1.257109, -3.893607, 2.050036
0, 8.066666, 39.264364, 3.503622, 0.000000
1, 8.066666, 39.250433, 2.715690, 5.937426
0, 8.100000, 21.715951, 0.073621, 0.000000
1, 8.100000, 21.270040, 0.203565, -1.094553
0, 8.100000, 1.581251, -3.926503, 0.000000
1, 8.100000, 1.461858, -3.555673, 2.750423
0, 8.100000, 39.496288, 3.756914, 0.000000
1, 8.100000, 39.016749, 4.013736, 6.391873
0, 8.133333, 21.620277, 0.243040, 0.000000
1, 8.133333, 21.284716, 0.532867, -1.703271
0, 8.133333, 1.739466, -3.757084, 0.000000
1, 8.133333, 1.730873, -3.602707, 2.442216
0, 8.133333, 39.651163, 3.924694, 0.000000
1, 8.133333, 39.220398, 4.628636, 5.850118
0, 8.166666, 21.709872, 0.317600, 0.000000
1, 8.166666, 21.799052, -1.104904, -2.236276
0, 8.166666, 2.085172, -3.682524, 0.000000
1, 8.166666, 1.876128, -4.281461, 2.196972
0, 8.166666, 39.993529, 3.997615, 0.000000
1, 8.166666, 40.245657, 1.663351, 5.384072
0, 8.200000, 21.517780, 0.070648, 0.000000
1, 8.200000, 21.858032, 0.322085, -1.850671
0, 8.200000, 2.151412, -3.929476, 0.000000
1, 8.200000, 2.404146, -4.222705, 2.857475
0, 8.200000, 40.056430, 3.749024, 0.000000
1, 8.200000, 40.338872, 4.299933, 5.836632
0, 8.233333, 21.600832, 0.196456, 0.000000
1, 8.233333, 21.984568, -0.309005, -1.188248
0, 8.233333, 2.495019, -3.803668, 0.000000
1, 8.233333, 2.585126, -4.449193, 3.782028
0, 8.233333, 40.396697, 3.873193, 0.000000
1, 8.233333, 40.828896, 3.146817, 6.566005
0, 8.266666, 21.372344, -0.296151, 0.000000
1, 8.266666, 21.084925, -0.309736, -1.550670
0, 8.266666, 2.529308, -4.296275, 0.000000
1, 8.266666, 2.351414, -3.736620, 3.669228
0, 8.266666, 40.427646, 3.378947, 0.000000
1, 8.266666, 40.193156, 3.052790, 6.270530
0, 8.300000, 21.182959, -0.039888, 0.000000
1, 8.300000, 21.793934, -1.061832, -2.267253
0, 8.300000, 2.604922, -4.040012, 0.000000
1, 8.300000, 2.837408, -4.505344, 3.190156
0, 8.300000, 40.499921, 3.633571, 0.000000
1, 8.300000, 41.266936, 1.706881, 5.620889
0, 8.333333, 21.461540, 0.221188, 0.000000
1, 8.333333, 21.113862, 0.466431, -1.928077
0, 8.333333, 3.150725, -3.778936, 0.000000
1, 8.333333, 2.969141, -3.781935, 3.755226
0, 8.333333, 41.042384, 3.893008, 0.000000
1, 8.333333, 40.610005, 4.552571, 6.027004
0, 8.366666, 21.293207, 0.165503, 0.000000
1, 8.366666, 21.093505, 0.198308, -2.059783
0, 8.366666, 3.251836, -3.834621, 0.000000
1, 8.366666, 3.144570, -3.855904, 3.838357
0, 8.366666, 41.140156, 3.835684, 0.000000
1, 8.366666, 40.905801, 4.041726, 5.962233
0, 8.400000, 21.407872, 0.125427, 0.000000
1, 8.400000, 21.323417, -0.036918, -2.259922
0, 8.400000, 3.638167, -3.874697, 0.000000
1, 8.400000, 3.492408, -4.123230, 3.842606
0, 8.400000, 41.523146, 3.793969, 0.000000
1, 8.400000, 41.444454, 3.610285, 5.829025
0, 8.433333, 21.130491, -0.229341, 0.000000
1, 8.433333, 21.070116, -1.752536, -2.283992
0, 8.433333, 3.634674, -4.229465, 0.000000
1, 8.433333, 3.284491, -4.322139, 4.013101
0, 8.433333, 41.516314, 3.437562, 0.000000
1, 8.433333, 41.689909, 0.215990, 5.871882
0, 8.466666, 21.116149, 0.012391, 0.000000
1, 8.466666, 21.555309, -0.092308, -2.337349
0, 8.466666, 3.896443, -3.987733, 0.000000
1, 8.466666, 4.150169, -4.406306, 4.145119
0, 8.466666, 41.774743, 3.677655, 0.000000
1, 8.466666, 42.227572, 3.531281, 5.885448
0, 8.500000, 21.010789, -0.146002, 0.000000
1, 8.500000, 21.021141, 0.034351, -2.256283
0, 8.500000, 4.069415, -4.146126, 0.000000
1, 8.500000, 4.063017, -4.049826, 4.402996
0, 8.500000, 41.944375, 3.517624, 0.000000
1, 8.500000, 41.948420, 3.739011, 6.033434
0, 8.533333, 20.559247, -0.185867, 0.000000
1, 8.533333, 21.085970, -0.253260, -2.710591
0, 8.533333, 3.898428, -4.185991, 0.000000
1, 8.533333, 4.313879, -4.208477, 4.117543
0, 8.533333, 41.770049, 3.476120, 0.000000
