sen_ID_lid_rad,time_s,nis
0,5.066666,0.743174
1,5.066666,3.890583
0,5.066666,3.502897
1,5.066666,1.905929
0,5.100000,1.872202
1,5.100000,11.384361
0,5.100000,0.907846
1,5.100000,11.330063
0,5.100000,1.881276
1,5.100000,7.459198
0,5.133333,12.062392
1,5.133333,1.613820
0,5.133333,12.730322
1,5.133333,0.911648
0,5.133333,7.988383
1,5.133333,1.939016
0,5.166666,1.271140
1,5.166666,2.465089
0,5.166666,2.521087
1,5.166666,3.409234
0,5.166666,0.159528
1,5.166666,0.713747
0,5.200000,2.179881
1,5.200000,12.587077
0,5.200000,0.040512
1,5.200000,15.132541
0,5.200000,1.874401
1,5.200000,6.907368
0,5.233333,0.523441
1,5.233333,5.053309
0,5.233333,0.216353
1,5.233333,3.773564
0,5.233333,0.966935
1,5.233333,3.591337
0,5.266666,2.285755
1,5.266666,6.382991
0,5.266666,3.573364
1,5.266666,10.059921
0,5.266666,0.575366
1,5.266666,6.880476
0,5.300000,1.526790
1,5.300000,3.415968
0,5.300000,1.672549
1,5.300000,5.335889
0,5.300000,0.232199
1,5.300000,3.232260
0,5.333333,4.306035
1,5.333333,6.443968
0,5.333333,1.269856
1,5.333333,10.025430
0,5.333333,2.667427
1,5.333333,2.822944
0,5.366666,0.041705
1,5.366666,1.651688
0,5.366666,0.432202
1,5.366666,2.163981
0,5.366666,0.312218
1,5.366666,2.073256
0,5.400000,2.104428
1,5.400000,3.620015
0,5.400000,1.490219
1,5.400000,5.811152
0,5.400000,0.607710
1,5.400000,1.391326
0,5.433333,0.760844
1,5.433333,4.221865
0,5.433333,0.213120
1,5.433333,4.468906
0,5.433333,0.074661
1,5.433333,6.357320
0,5.466666,1.799536
1,5.466666,2.591579
0,5.466666,0.641682
1,5.466666,2.587517
0,5.466666,0.508688
1,5.466666,3.939438
0,5.500000,0.332742
1,5.500000,1.518368
0,5.500000,1.640554
1,5.500000,1.904654
0,5.500000,1.158360
1,5.500000,1.335154
0,5.533333,2.265919
1,5.533333,0.739323
0,5.533333,0.923142
1,5.533333,1.252953
0,5.533333,1.735313
1,5.533333,1.017798
0,5.566666,0.243533
1,5.566666,1.063946
0,5.566666,0.192941
1,5.566666,1.959407
0,5.566666,0.105920
1,5.566666,0.923848
0,5.600000,1.466871
1,5.600000,1.180749
0,5.600000,0.123472
1,5.600000,1.333567
0,5.600000,0.704182
1,5.600000,0.939232
0,5.633333,0.748465
1,5.633333,1.712791
0,5.633333,0.274367
1,5.633333,2.941803
0,5.633333,0.253150
1,5.633333,1.699272
0,5.666666,6.518856
1,5.666666,3.031614
0,5.666666,4.178500
1,5.666666,4.913873
0,5.666666,4.744921
1,5.666666,2.665243
0,5.700000,3.876578
1,5.700000,10.071736
0,5.700000,5.817349
1,5.700000,11.765944
0,5.700000,5.065769
1,5.700000,9.016175
0,5.733333,2.747811
1,5.733333,3.826569
0,5.733333,3.763351
1,5.733333,6.130869
0,5.733333,2.014196
1,5.733333,3.408487
0,5.766666,1.438378
1,5.766666,3.439887
0,5.766666,3.590724
1,5.766666,5.085077
0,5.766666,2.214939
1,5.766666,3.070342
0,5.800000,5.792692
1,5.800000,1.762709
0,5.800000,5.397879
1,5.800000,2.894310
0,5.800000,4.027172
1,5.800000,1.363496
0,5.833333,4.146175
1,5.833333,2.045763
0,5.833333,6.647732
1,5.833333,1.484476
0,5.833333,3.815429
1,5.833333,2.529612
0,5.866666,3.433197
1,5.866666,6.738042
0,5.866666,4.789167
1,5.866666,7.274746
0,5.866666,5.155254
1,5.866666,6.484886
0,5.900000,1.969432
1,5.900000,3.808540
0,5.900000,2.440616
1,5.900000,4.770515
0,5.900000,2.818231
1,5.900000,3.792380
0,5.933333,4.714615
1,5.933333,4.557932
0,5.933333,7.105984
1,5.933333,4.291356
0,5.933333,5.151664
1,5.933333,4.708884
0,5.966666,0.009663
1,5.966666,4.713942
0,5.966666,0.296978
1,5.966666,3.985184
0,5.966666,0.052910
1,5.966666,4.618464
0,6.000000,0.084046
1,6.000000,2.755640
0,6.000000,0.098447
1,6.000000,3.429238
0,6.000000,0.031498
1,6.000000,2.571212
0,6.033333,0.113679
1,6.033333,1.397830
0,6.033333,0.588582
1,6.033333,1.979710
0,6.033333,0.312127
1,6.033333,1.281609
0,6.066666,0.176695
1,6.066666,3.911894
0,6.066666,0.619890
1,6.066666,3.811375
0,6.066666,0.264076
1,6.066666,3.819236
0,6.100000,3.010069
1,6.100000,6.010162
0,6.100000,2.210269
1,6.100000,6.899272
0,6.100000,2.714896
1,6.100000,5.777421
0,6.133333,7.575484
1,6.133333,3.630779
0,6.133333,6.581481
1,6.133333,6.350013
0,6.133333,6.143608
1,6.133333,3.358754
0,6.166666,3.012122
1,6.166666,2.406028
0,6.166666,3.600125
1,6.166666,4.451374
0,6.166666,2.012434
1,6.166666,2.188855
0,6.200000,1.481893
1,6.200000,2.533462
0,6.200000,2.068889
1,6.200000,1.537495
0,6.200000,0.760818
1,6.200000,2.837891
0,6.233333,2.125496
1,6.233333,5.590314
0,6.233333,1.483728
1,6.233333,7.999523
0,6.233333,3.497685
1,6.233333,5.241676
0,6.266666,1.234106
1,6.266666,3.876444
0,6.266666,1.061358
1,6.266666,4.579390
0,6.266666,1.232014
1,6.266666,3.976388
0,6.300000,0.519185
1,6.300000,2.527353
0,6.300000,0.243609
1,6.300000,3.087011
0,6.300000,0.746281
1,6.300000,2.428676
0,6.333333,0.529570
1,6.333333,6.168768
0,6.333333,0.265041
1,6.333333,5.159963
0,6.333333,1.007482
1,6.333333,6.284592
0,6.366666,4.219633
1,6.366666,5.128707
0,6.366666,8.327508
1,6.366666,6.760835
0,6.366666,3.765291
1,6.366666,5.031905
0,6.400000,0.711673
1,6.400000,11.108224
0,6.400000,0.166332
1,6.400000,14.472766
0,6.400000,0.878948
1,6.400000,10.690806
0,6.433333,1.129623
1,6.433333,4.672914
0,6.433333,0.129193
1,6.433333,6.304067
0,6.433333,1.698098
1,6.433333,4.474508
0,6.466666,1.307176
1,6.466666,0.298759
0,6.466666,1.377975
1,6.466666,1.477180
0,6.466666,1.099405
1,6.466666,0.247610
0,6.500000,3.312565
1,6.500000,10.842461
0,6.500000,2.552051
1,6.500000,13.540750
0,6.500000,4.021433
1,6.500000,10.802427
0,6.533333,0.016610
1,6.533333,3.450830
0,6.533333,0.437093
1,6.533333,5.290320
0,6.533333,0.002289
1,6.533333,3.452238
0,6.566666,0.227850
1,6.566666,5.459720
0,6.566666,0.483320
1,6.566666,6.378128
0,6.566666,0.326643
1,6.566666,5.410425
0,6.600000,0.424278
1,6.600000,5.597169
0,6.600000,0.173969
1,6.600000,7.535744
0,6.600000,0.478509
1,6.600000,5.426295
0,6.633333,2.034216
1,6.633333,1.525320
0,6.633333,2.789624
1,6.633333,1.619905
0,6.633333,2.106360
1,6.633333,1.543096
0,6.666666,1.829301
1,6.666666,6.116684
0,6.666666,0.939414
1,6.666666,7.059744
0,6.666666,1.761802
1,6.666666,5.935592
0,6.700000,1.471991
1,6.700000,0.268266
0,6.700000,1.285953
1,6.700000,0.180281
0,6.700000,1.121860
1,6.700000,0.307041
0,6.733333,9.156282
1,6.733333,12.394215
0,6.733333,13.209810
1,6.733333,12.150028
0,6.733333,9.647139
1,6.733333,12.242341
0,6.766666,1.495983
1,6.766666,2.071012
0,6.766666,0.312321
1,6.766666,2.275249
0,6.766666,1.483677
1,6.766666,2.081980
0,6.800000,3.845750
1,6.800000,6.324338
0,6.800000,4.225806
1,6.800000,4.373940
0,6.800000,3.355281
1,6.800000,6.567464
0,6.833333,1.719435
1,6.833333,3.013087
0,6.833333,0.187205
1,6.833333,4.622140
0,6.833333,1.485530
1,6.833333,2.983858
0,6.866666,0.714056
1,6.866666,1.318594
0,6.866666,1.745744
1,6.866666,2.989306
0,6.866666,0.351152
1,6.866666,1.241170
0,6.900000,1.159351
1,6.900000,1.049031
0,6.900000,2.545669
1,6.900000,1.362842
0,6.900000,0.533573
1,6.900000,1.037057
0,6.933333,0.370563
1,6.933333,6.929601
0,6.933333,2.856957
1,6.933333,4.540776
0,6.933333,0.915655
1,6.933333,7.160147
0,6.966666,7.203903
1,6.966666,0.856594
0,6.966666,4.741880
1,6.966666,1.684433
0,6.966666,4.955203
1,6.966666,0.935008
0,7.000000,0.342686
1,7.000000,11.587169
0,7.000000,2.763580
1,7.000000,12.920979
0,7.000000,0.157626
1,7.000000,11.776189
0,7.033333,2.483269
1,7.033333,5.934931
0,7.033333,6.655887
1,7.033333,5.731090
0,7.033333,3.743276
1,7.033333,6.062006
0,7.066666,6.558186
1,7.066666,2.259496
